epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.302,0.94346,2.66601,1.17832,0.58357,0.37242,0.41886,0.32646,0.7891,1.39766,1.08791,0.0671315,0.000332005,0.000332005
2,284.903,0.8242,1.25047,1.10424,0.73347,0.47872,0.53608,0.43253,0.67,0.93115,1.01977,0.0341289,0.000662742,0.000662742
3,424.282,0.78393,1.04744,1.07453,0.75046,0.51383,0.55999,0.465,0.58345,0.74877,0.96707,0.00111594,0.000983141,0.000983141
4,562.969,0.74717,0.94429,1.04849,0.80569,0.52986,0.57975,0.48772,0.5672,0.68142,0.95246,0.000965239,0.000965239,0.000965239
5,701.174,0.70071,0.82757,1.02233,0.82664,0.54935,0.59903,0.5037,0.60813,0.55465,0.93776,0.000938772,0.000938772,0.000938772
6,839.844,0.66587,0.77599,1.00281,0.84213,0.55985,0.61413,0.53306,0.5132,0.50205,0.90893,0.000905463,0.000905463,0.000905463
