epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.314,0.97784,2.57059,1.21701,0.60984,0.2457,0.2926,0.21771,1.08129,2.3814,1.34135,0.0671642,0.000331675,0.000331675
2,341.627,0.87507,1.25222,1.14883,0.64213,0.41743,0.48943,0.39834,0.70066,1.46393,1.086,0.0341624,0.000663205,0.000663205
3,527.427,0.82001,1.06892,1.11117,0.72317,0.45644,0.538,0.42906,0.71819,1.42409,1.08181,0.00115338,0.000987543,0.000987543
4,695.037,0.78452,0.96139,1.08604,0.79736,0.51936,0.56857,0.45935,0.67776,0.7281,1.0105,0.000975773,0.000975773,0.000975773
5,861.611,0.74784,0.85842,1.06621,0.81715,0.54574,0.59287,0.4673,0.78675,0.62329,1.05351,0.000957205,0.000957205,0.000957205
