epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1774,0.59738,0.45355,0.95166,0.79064,0.85633,0.916,0.78727,0.6819,0.44787,0.99331,0.0001,0.0001,0.0001
2,103.023,0.57464,0.44002,0.94853,0.84348,0.82797,0.91566,0.7885,0.67264,0.45373,0.98478,9.6232e-05,9.6232e-05,9.6232e-05
3,148.756,0.57327,0.43449,0.94149,0.77252,0.87005,0.91405,0.79582,0.66834,0.45424,0.98737,8.55018e-05,8.55018e-05,8.55018e-05
4,194.393,0.56676,0.42414,0.93043,0.85027,0.83419,0.91825,0.79632,0.66312,0.44771,0.98297,6.94428e-05,6.94428e-05,6.94428e-05
5,240.062,0.54602,0.3936,0.93365,0.80022,0.86147,0.91564,0.79294,0.67822,0.45455,0.99143,5.05e-05,5.05e-05,5.05e-05
6,287.115,0.52003,0.29291,0.90891,0.79311,0.87169,0.91232,0.79141,0.67078,0.46031,0.98685,3.15572e-05,3.15572e-05,3.15572e-05
7,332.464,0.51169,0.28184,0.90407,0.79169,0.87825,0.91338,0.78938,0.66906,0.46475,0.98378,1.54982e-05,1.54982e-05,1.54982e-05
8,377.84,0.50996,0.28077,0.9037,0.79473,0.87249,0.91532,0.79323,0.66509,0.46206,0.98241,4.76796e-06,4.76796e-06,4.76796e-06
